user_id,session_id,label,key_index,inter_key_ms,dwell_ms,is_backspace,is_error
user_000,user_000_s00,0,0,216.95,113.31,0,0
user_000,user_000_s00,0,1,168.28,113.33,0,0
user_000,user_000_s00,0,2,213.33,113.86,0,0
user_000,user_000_s00,0,3,164.63,97.22,0,0
user_000,user_000_s00,0,4,232.02,107.73,0,0
user_000,user_000_s00,0,5,197.97,107.65,0,0
user_000,user_000_s00,0,6,193.02,115.52,0,0
user_000,user_000_s00,0,7,174.83,124.56,0,0
user_000,user_000_s00,0,8,244.64,94.36,0,0
user_000,user_000_s00,0,9,194.13,108.06,0,0
user_000,user_000_s00,0,10,184.09,131.63,0,0
user_000,user_000_s00,0,11,186.89,98.98,0,0
user_000,user_000_s00,0,12,219.33,97.83,0,0
user_000,user_000_s00,0,13,1031.81,112.86,0,0
user_000,user_000_s00,0,14,214.94,122.28,0,0
user_000,user_000_s00,0,15,215.6,110.06,0,0
user_000,user_000_s00,0,16,278.36,129.39,0,1
user_000,user_000_s00,0,17,184.89,122.46,0,0
user_000,user_000_s00,0,18,181.01,122.24,0,0
user_000,user_000_s00,0,19,169.95,118.02,0,1
user_000,user_000_s00,0,20,222.4,144.04,0,0
user_000,user_000_s00,0,21,241.21,106.88,0,0
user_000,user_000_s00,0,22,195.62,80.5,0,0
user_000,user_000_s00,0,23,168.98,133.43,0,0
user_000,user_000_s00,0,24,169.56,103.18,0,0
user_000,user_000_s00,0,25,223.67,111.47,0,0
user_000,user_000_s00,0,26,227.06,129.1,0,0
user_000,user_000_s00,0,27,219.72,86.38,0,0
user_000,user_000_s00,0,28,175.39,91.53,0,0
user_000,user_000_s00,0,29,208.32,86.4,0,0
user_000,user_000_s00,0,30,204.08,98.24,0,0
user_000,user_000_s00,0,31,207.82,116.34,0,0
user_000,user_000_s00,0,32,231.77,117.58,0,0
user_000,user_000_s00,0,33,208.0,113.94,0,0
user_000,user_000_s00,0,34,224.7,89.16,0,0
user_000,user_000_s00,0,35,1376.6,76.0,0,0
user_000,user_000_s00,0,36,210.41,110.69,0,0
user_000,user_000_s00,0,37,222.96,102.97,0,0
user_000,user_000_s00,0,38,146.35,116.63,0,0
user_000,user_000_s00,0,39,188.08,120.19,1,0
user_000,user_000_s00,0,40,182.55,111.92,0,0
user_000,user_000_s00,0,41,176.37,121.04,0,1
user_000,user_000_s00,0,42,189.71,113.25,0,0
user_000,user_000_s00,0,43,254.64,117.67,0,0
user_000,user_000_s00,0,44,168.04,99.55,1,0
user_000,user_000_s00,0,45,235.32,107.26,0,0
user_000,user_000_s00,0,46,138.07,112.78,0,0
user_000,user_000_s00,0,47,1258.75,121.93,0,0
user_000,user_000_s00,0,48,205.77,104.11,0,0
user_000,user_000_s00,0,49,221.3,117.54,0,0
user_000,user_000_s00,0,50,225.89,105.99,0,1
user_000,user_000_s00,0,51,228.9,108.17,0,0
user_000,user_000_s00,0,52,187.01,122.06,0,0
user_000,user_000_s00,0,53,182.84,80.65,0,0
user_000,user_000_s00,0,54,231.27,90.87,0,0
user_000,user_000_s00,0,55,192.78,88.14,0,0
user_000,user_000_s00,0,56,153.01,75.65,0,0
user_000,user_000_s00,0,57,158.23,99.94,0,0
user_000,user_000_s00,0,58,166.08,120.89,0,0
user_000,user_000_s00,0,59,218.04,105.71,0,0
user_000,user_000_s00,0,60,205.03,112.79,0,0
user_000,user_000_s00,0,61,225.13,125.87,0,0
user_000,user_000_s00,0,62,184.13,129.37,0,0
user_000,user_000_s00,0,63,205.62,108.88,0,0
user_000,user_000_s00,0,64,222.75,129.75,0,0
user_000,user_000_s00,0,65,188.46,111.24,0,0
user_000,user_000_s00,0,66,216.56,97.6,0,0
user_000,user_000_s00,0,67,175.52,101.17,0,0
user_000,user_000_s00,0,68,186.49,88.17,0,0
user_000,user_000_s00,0,69,185.8,96.86,0,0
user_000,user_000_s00,0,70,155.94,104.64,0,0
user_000,user_000_s00,0,71,217.66,121.68,0,0
user_000,user_000_s00,0,72,182.58,135.14,0,1
user_000,user_000_s00,0,73,200.26,89.61,0,0
user_000,user_000_s00,0,74,217.44,115.65,0,0
user_000,user_000_s00,0,75,216.18,94.62,0,0
user_000,user_000_s00,0,76,224.21,116.86,0,0
user_000,user_000_s00,0,77,196.19,107.97,0,0
user_000,user_000_s00,0,78,917.91,83.03,0,0
user_000,user_000_s00,0,79,196.88,123.51,0,0
user_000,user_000_s00,0,80,137.91,101.01,0,0
user_000,user_000_s00,0,81,146.72,102.06,0,0
user_000,user_000_s00,0,82,151.29,94.2,0,0
user_000,user_000_s00,0,83,163.22,100.29,0,0
user_000,user_000_s00,0,84,214.47,116.17,0,0
user_000,user_000_s00,0,85,166.59,107.11,0,0
user_000,user_000_s00,0,86,185.93,114.71,0,1
user_000,user_000_s00,0,87,247.46,115.2,0,1
user_000,user_000_s00,0,88,186.73,129.27,0,0
user_000,user_000_s00,0,89,226.85,104.86,0,0
user_000,user_000_s00,0,90,165.56,88.22,0,0
user_000,user_000_s00,0,91,192.27,125.55,0,0
user_000,user_000_s00,0,92,164.95,105.03,0,0
user_000,user_000_s00,0,93,187.37,126.24,0,0
user_000,user_000_s00,0,94,230.62,115.52,0,0
user_000,user_000_s00,0,95,136.44,107.97,0,0
user_000,user_000_s00,0,96,215.74,115.01,1,0
user_000,user_000_s00,0,97,208.52,138.52,0,0
user_000,user_000_s00,0,98,178.01,140.36,0,0
user_000,user_000_s00,0,99,146.76,110.91,1,0
user_000,user_000_s00,0,100,202.45,112.24,0,0
user_000,user_000_s00,0,101,180.38,125.68,0,1
user_000,user_000_s00,0,102,208.34,97.48,0,0
user_000,user_000_s00,0,103,200.6,114.78,0,0
user_000,user_000_s00,0,104,258.56,109.51,0,0
user_000,user_000_s00,0,105,191.02,114.5,0,0
user_000,user_000_s00,0,106,162.26,97.66,0,0
user_000,user_000_s00,0,107,206.38,86.57,0,0
user_000,user_000_s00,0,108,207.87,79.48,0,0
user_000,user_000_s00,0,109,249.66,93.5,0,0
user_000,user_000_s00,0,110,230.43,103.16,0,0
user_000,user_000_s00,0,111,212.89,105.59,0,0
user_000,user_000_s00,0,112,253.48,138.31,0,0
user_000,user_000_s00,0,113,156.2,126.12,0,0
user_000,user_000_s00,0,114,176.34,95.78,0,0
user_000,user_000_s00,0,115,165.81,114.99,0,0
user_000,user_000_s00,0,116,185.5,103.92,0,1
user_000,user_000_s00,0,117,149.3,105.72,0,0
user_000,user_000_s00,0,118,223.1,112.61,0,0
user_000,user_000_s00,0,119,191.65,118.98,0,0
user_000,user_000_s00,0,120,145.85,104.91,0,0
