user_id,baseline_mean_ms,baseline_std_ms
user_000,217.69722543352603,176.3289598561226
user_001,262.4782714546561,174.30741814261336
user_002,263.0164938846826,192.30158804074233
user_003,284.2359560293138,194.5938787840857
user_004,176.07578696343404,191.53403526668276
user_005,280.3194076433121,187.01958471000987
user_006,182.26279459111396,195.48513158101582
user_007,180.97279510703365,206.3700929921656
user_008,233.69581780538303,209.3167844702144
user_009,184.57371546149324,198.421080254206
user_010,189.51777576853524,171.98143061929798
user_011,213.30168674698797,202.58430587661147
user_012,158.8579719764012,191.66183801948117
user_013,168.9336327231121,179.08828591297961
user_014,246.6183395989975,209.86871384593735
user_015,127.06215096860387,171.30692960686926
user_016,156.2541672522839,194.50534477955006
user_017,208.5072634408602,201.0395150643414
user_018,217.89574655647385,196.06332267772194
user_019,225.58639114391144,161.48651146037867
user_020,199.57241336633663,199.45309649555278
user_021,191.3621715184894,197.82758907258867
user_022,219.43122484186316,187.56545401841495
user_023,231.6082302631579,190.00020746695193
user_024,203.1190399484536,188.3692658585694
user_025,197.5976892692561,183.35007448870246
user_026,255.59895878524944,176.2983650414298
user_027,184.01501633986928,194.50398347229302
user_028,231.20680733944954,188.71239036122452
user_029,285.1406165158371,199.43207262080261
user_030,237.36737134909598,181.5573026716895
user_031,264.50221238938053,180.49734709672111
user_032,189.86973952434883,160.64004595230352
user_033,227.16293628808862,172.74504078967541
user_034,223.7630289532294,189.32114208206778
user_035,153.32337790697676,180.58943481362002
user_036,199.91141979102642,200.31603658144195
user_037,247.20222591362125,191.6620050802586
user_038,219.8384833836858,178.4775893282922
user_039,183.41258162031437,194.93790637432997
